id;naam;categorie;leverancier;eenheid;prijs_eur
zalmfilet-vers-noorwegen-0;Zalmfilet vers (Noorwegen);Vis & Zeevruchten;Beide;kg;28,50
zalmzijde-gerookt-1;Zalmzijde gerookt;Vis & Zeevruchten;Hanos;kg;34,00
kabeljauwfilet-msc-2;Kabeljauwfilet MSC;Vis & Zeevruchten;Beide;kg;24,90
schol-filet-3;Schol filet;Vis & Zeevruchten;Beide;kg;19,50
tongfilet-4;Tongfilet;Vis & Zeevruchten;Sligro;kg;42,00
tarbot-heel-5;Tarbot heel;Vis & Zeevruchten;Sligro;kg;32,00
zeebaars-wild-6;Zeebaars (wild);Vis & Zeevruchten;Hanos;kg;29,00
doradefilet-7;Doradefilet;Vis & Zeevruchten;Hanos;kg;21,50
tonijn-loin-sashimi-8;Tonijn loin (sashimi);Vis & Zeevruchten;Beide;kg;38,50
roodbaarsfilet-9;Roodbaarsfilet;Vis & Zeevruchten;Beide;kg;18,90
heilbot-10;Heilbot;Vis & Zeevruchten;Beide;kg;31,00
gamba-s-16-20-ontdooid-11;Gamba's 16/20 ontdooid;Vis & Zeevruchten;Hanos;kg;22,00
garnalen-hollandse-gepeld-12;Garnalen Hollandse gepeld;Vis & Zeevruchten;Sligro;kg;36,00
coquilles-sint-jakobsschelpen-13;Coquilles / Sint-jakobsschelpen;Vis & Zeevruchten;Beide;kg;44,00
mosselen-jumbo-14;Mosselen jumbo;Vis & Zeevruchten;Sligro;bak;9,80
oesters-creuses-doos-50-15;Oesters Creuses (doos 50);Vis & Zeevruchten;Sligro;doos;48,00
inktvisringen-16;Inktvisringen;Vis & Zeevruchten;Beide;kg;14,50
octopus-tentakel-17;Octopus tentakel;Vis & Zeevruchten;Hanos;kg;26,00
krab-kluifjes-18;Krab kluifjes;Vis & Zeevruchten;Sligro;kg;19,00
forel-gerookt-filet-19;Forel gerookt filet;Vis & Zeevruchten;Beide;kg;23,00
haring-maatjes-20;Haring maatjes;Vis & Zeevruchten;Sligro;kg;12,50
paling-gerookt-21;Paling gerookt;Vis & Zeevruchten;Beide;kg;39,00
surimi-sticks-22;Surimi sticks;Vis & Zeevruchten;Beide;kg;8,90
vislever-lotte-23;Vislever (lotte);Vis & Zeevruchten;Hanos;kg;16,00
garnalenkroketten-40-st-24;Garnalenkroketten (40 st);Vis & Zeevruchten;Sligro;doos;28,00
runderhaas-tenderloin-25;Runderhaas (tenderloin);Vlees;Hanos;kg;39,50
entrecote-iers-26;Entrecote Iers;Vlees;Sligro;kg;27,00
ribeye-27;Ribeye;Vlees;Hanos;kg;26,50
bavette-28;Bavette;Vlees;Beide;kg;19,50
picanha-29;Picanha;Vlees;Hanos;kg;21,00
runderriblappen-30;Runderriblappen;Vlees;Hanos;kg;12,50
sucadelappen-31;Sucadelappen;Vlees;Sligro;kg;13,50
ossenstaart-32;Ossenstaart;Vlees;Sligro;kg;9,80
runderbouillonbotten-33;Runderbouillonbotten;Vlees;Beide;kg;3,20
kalfsschnitzel-34;Kalfsschnitzel;Vlees;Hanos;kg;28,00
kalfszwezerik-35;Kalfszwezerik;Vlees;Hanos;kg;34,00
kalfsfond-basis-36;Kalfsfond basis;Vlees;Hanos;kg;8,50
varkenshaas-37;Varkenshaas;Vlees;Hanos;kg;12,90
procureur-coppa-38;Procureur / coppa;Vlees;Sligro;kg;9,50
buikspek-39;Buikspek;Vlees;Beide;kg;8,90
speklap-40;Speklap;Vlees;Beide;kg;6,50
iberico-secreto-41;Iberico secreto;Vlees;Beide;kg;18,50
lamsrack-frenched-42;Lamsrack Frenched;Vlees;Beide;kg;29,00
lamsbout-zonder-been-43;Lamsbout zonder been;Vlees;Hanos;kg;22,00
lamsschouder-44;Lamsschouder;Vlees;Beide;kg;15,50
hertenbiefstuk-45;Hertenbiefstuk;Vlees;Beide;kg;31,00
wild-zwijn-ragout-46;Wild zwijn ragout;Vlees;Hanos;kg;17,00
gehakt-half-om-half-47;Gehakt half-om-half;Vlees;Hanos;kg;7,90
rundergehakt-mager-48;Rundergehakt mager;Vlees;Hanos;kg;9,20
merg-pijpjes-49;Merg pijpjes;Vlees;Sligro;kg;4,50
kippenfilet-nl-50;Kippenfilet (NL);Gevogelte;Hanos;kg;8,90
